Zeitstempel,Username,I played the game before,Age,Gender,What is your course of study?,Experience with Java,Experience with programming (any language),Experience with Testing,Please specify your level of agreement: [I enjoyed playing Sojourner under Sabotage],Please specify your level of agreement: [I liked the storyline],Please specify your level of agreement: [I liked the graphics of Sojourner under Sabotage],Please specify your level of agreement: [I liked the minigames],Please specify your level of agreement: [I enjoyed writing tests with Sojourner under Sabotage],Please specify your level of agreement: [I enjoyed debugging with Sojourner under Sabotage],Please specify your level of agreement: [I learned/practised useful skills when playing Sojourner under Sabotage],Please specify your level of agreement: [I could successfully practice writing tests],Please specify your level of agreement: [I could successfully practice debugging code ],Please specify your level of agreement: [Testing is more fun than Debugging],Please specify your level of agreement: [I always knew how to play the game],Please specify your level of agreement: [The game was too difficult],Please specify your level of agreement: [Writing tests got easier from room to room],Please specify your level of agreement: [Debugging got easier from room to room],What did you like about Sojourner under Sabotage?,What did you *not* like about Sojourner under Sabotage?,Do you have any suggestions on how to improve Sojourner under Sabotage?,What is the best method to check that two integers are equal in JUnit?,"Given the following test code for Java's ArrayList class, which of the following assertions will pass?","Given the code below, which one of the following JUnit assertions will execute the line of code containing the ""Test me"" comment?","Given the code below, this Junit assertion will not pass:                                                   assertEquals(2, lastIndexOf(Arrays.asList(""a"", ""b"", ""a""), ""a""));                                                                      How would you fix the code in order to make the assertion pass?"
2024/11/05 9:24:32 AM MEZ,truly163,No,24,Male,Computer Science,>= 3 years,>= 3 years,< 3 months,Fully agree,Partially agree,Partially agree,Neither agree nor disagree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully disagree,Fully agree,Fully disagree,Neither agree nor disagree,Neither agree nor disagree,no hidden state,it's laggy and has bugs,make it run smoother and fix the bugs,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
2024/11/05 9:26:47 AM MEZ,nagel153,Yes,19,Male,Computer Science,>= 3 years,>= 3 years,< 3 months,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully disagree,Fully agree,Fully disagree,Partially agree,Fully agree,The Debugging,The Tests ,Give the character a sprint button,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
2024/11/05 9:27:04 AM MEZ,lind985,No,24,Male,Computer Science,>= 1 year && < 3 years,>= 1 year && < 3 years,>= 6 months && < 1 year,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Partially agree,Fully agree,Neither agree nor disagree,Partially agree,Partially agree,alles!,-,weiter so!,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
2024/11/05 9:28:09 AM MEZ,low315,No,22,Male,Computer Science,>= 3 years,>= 3 years,>= 1 year && < 3 years,Partially agree,Fully agree,Fully agree,Fully agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially disagree,Die Geschichte ,"Ein Bug, bei dem ich nicht weitermachen konnte",Schnelleres gehen ,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
2024/11/05 9:28:20 AM MEZ,walker119,No,26,Male,Computer Science,>= 3 years,>= 3 years,>= 3 years,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially agree,Partially agree,Neither agree nor disagree,Fully agree,Fully agree,Door riddle,"",Faster Walking Speed,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
2024/11/05 9:28:41 AM MEZ,favier784,No,23,Male,Computer Science,>= 1 year && < 3 years,>= 3 years,>= 1 year && < 3 years,Fully agree,Fully agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially disagree,"Storyline, look and feel",Frames per second,Maybe make it a bit more performant and extend the storyline.,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
2024/11/05 9:30:08 AM MEZ,usachev560,No,21,Male,Computer Science,>= 1 year && < 3 years,>= 1 year && < 3 years,>= 1 year && < 3 years,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Fully agree,Partially agree,Fully agree,Fully agree,Partially agree,Partially agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,"","",Sometimes it is unclear where to head. Maybe add a exclamation mark in the angle of the right direction.,"assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
2024/11/05 9:30:19 AM MEZ,rubins334,No,24,Male,Computer Science,>= 1 year && < 3 years,>= 1 year && < 3 years,< 3 months,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Partially agree,Fully disagree,Fully disagree,Neither agree nor disagree,I had very much and Focus and the mechanics where very intuitively,The exclamation Marks could be either more visible or explained upfront,"","assertEquals(int1, int2)","assertEquals(0, list.size());","assertNull(shortest(new String[] {null, ""airplane""}));",Replace -1 with 0 in the first line of the method
2024/11/05 9:30:56 AM MEZ,thornton45,No,21,Male,Computer Science,>= 3 years,>= 3 years,>= 6 months && < 1 year,Fully agree,Fully agree,Fully agree,Neither agree nor disagree,Fully agree,Fully agree,Fully agree,Fully agree,Fully agree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Neither agree nor disagree,"","","","assertEquals(int1, int2)",assertFalse(list.isEmpty());,"assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
2024/11/05 9:31:26 AM MEZ,yurchikhin449,Yes,21,Male,Computer Science,>= 1 year && < 3 years,>= 3 years,>= 1 year && < 3 years,Fully agree,Partially agree,Fully agree,Partially agree,Fully agree,Partially agree,Partially agree,Fully agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially agree,Neither agree nor disagree,"Graphics, Testing, IDE","","","assertEquals(int1, int2)","assertEquals(0, list.size());","assertEquals(""cat"", shortest(new String[] {""rabbit"", ""cat""}));","Replace the relational operator ""<="" with ""<"" in the loop statement"
